"Date";"CampaignId";"CampaignName";"AdSetId";"AdsetName";"AdId";"AdName";"DeviceTypeId";"Clicks";"Shows";"Budget";"JActions"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725880291;"AdName_16";2;0,0;78,0;3,821;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 4
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 4
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 4
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725890291;"AdName_17";2;45,0;5627,0;1046,199;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 38
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 43
  },
  {
    ""action_type"": ""post"",
    ""value"": 1
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 1062
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 1106
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 1106
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725890291;"AdName_17";3;0,0;20,0;3,74;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 4
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 4
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 4
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725890291;"AdName_17";3;0,0;9,0;2,296;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 1
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 1
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 1
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725890291;"AdName_17";2;26,0;1986,0;368,76;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 22
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 25
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 322
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 347
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 347
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725890291;"AdName_17";0;0,0;1,0;0,033;null
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725900291;"AdName_18";2;9,0;3189,0;260,366;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 9
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 9
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 470
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 479
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 479
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725900291;"AdName_18";3;0,0;3,0;0,394;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 1
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 1
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 1
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725900291;"AdName_18";3;0,0;3,0;0,213;null
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725900291;"AdName_18";2;13,0;3379,0;231,355;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 11
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 12
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 346
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 358
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 358
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725900291;"AdName_18";0;0,0;1,0;0,426;null
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725910291;"AdName_11";2;2,0;278,0;18,401;"[
  {
    ""action_type"": ""link_click"",
    ""value"": 2
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 24
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 26
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 26
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725910291;"AdName_11";3;0,0;4,0;0,394;"[
  {
    ""action_type"": ""video_view"",
    ""value"": 1
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 1
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 1
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725910291;"AdName_11";2;2,0;709,0;21,96;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 2
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 2
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 26
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 28
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 28
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725970291;"AdsetName_1";23845631725920291;"AdName_2";2;3,0;737,0;63,993;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 3
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 3
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 3
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 3
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725970291;"AdsetName_1";23845631725920291;"AdName_2";3;0,0;8,0;0,722;null
01.10.2020;23845631725960291;"CampaignName_89";23845631725970291;"AdsetName_1";23845631725920291;"AdName_2";3;0,0;3,0;0,886;null
01.10.2020;23845631725960291;"CampaignName_89";23845631725970291;"AdsetName_1";23845631725920291;"AdName_2";2;0,0;319,0;17,204;null
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725930291;"AdName_13";2;360,0;26090,0;6158,167;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 300
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 343
  },
  {
    ""action_type"": ""post"",
    ""value"": 1
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 12029
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 12373
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 12373
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725930291;"AdName_13";3;3,0;82,0;22,304;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 2
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 3
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 58
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 61
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 61
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725930291;"AdName_13";3;1,0;43,0;20,238;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 1
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 1
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 34
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 35
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 35
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725980291;"AdsetName_5";23845631725930291;"AdName_13";2;113,0;8320,0;1868,665;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 92
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 108
  },
  {
    ""action_type"": ""post"",
    ""value"": 2
  },
  {
    ""action_type"": ""video_view"",
    ""value"": 3337
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 3447
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 3447
  }
]"
01.10.2020;23845631725960291;"CampaignName_89";23845631725970291;"AdsetName_1";23845631725940291;"AdName_1";2;6,0;1813,0;122,295;"[
  {
    ""action_type"": ""landing_page_view"",
    ""value"": 3
  },
  {
    ""action_type"": ""link_click"",
    ""value"": 6
  },
  {
    ""action_type"": ""post_engagement"",
    ""value"": 6
  },
  {
    ""action_type"": ""page_engagement"",
    ""value"": 6
  }
]"
