"Date";"CampaignId";"DeviceTypeId";"CampaignName";"Clicks";"Shows";"Budget";"CampaignType";"AdNetworkType"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";2,0;4,0;68,896;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";6,0;18,0;255,166;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";1,0;3,0;87,176;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";1,0;20,0;19,152;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";1,0;4,0;65,955;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";3,0;16,0;68,434;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";1,0;16,0;12,945;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";1,0;4,0;38,509;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";1,0;4,0;13,868;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";2,0;3,0;61,577;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";1,0;1,0;26,625;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;18,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";1,0;34,0;30,335;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;9,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;2;"CampaignName_14";0,0;3,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;3;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;3;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;3;"CampaignName_14";1,0;1,0;38,766;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55421559;3;"CampaignName_14";0,0;1,0;0,0;"TEXT_CAMPAIGN";"SEARCH"
01.10.2020;55473545;1;"CampaignName_3";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55473545;1;"CampaignName_3";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55473545;1;"CampaignName_3";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55473545;1;"CampaignName_3";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55473545;1;"CampaignName_3";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
